Balance;Austria;Belgium;Cyprus;Germany;Estonia;Spain;Finland;France;Greece;Ireland;Italy;Lithuania;Luxembourg;Latvia;Malta;Netherlands;Portugal;Slovenia;Slovakia;;Min;Min country;Max;Max country;;Euro area
Q1 2016;6;3;2;9;-3;0;-2;-3;-7;1;1;-2;1;3;-5;9;0;7;-3;;-7;GR;9;NL;; 2 ;
Q2 2016;1;1;-8;9;2;4;-4;0;-2;-7;3;-4;2;-1;-4;6;-2;5;0;;-8;CY;9;DE;; 3 ;
Q3 2016;2;-2;7;8;4;5;-1;0;8;-2;4;-1;6;2;6;7;5;5;-3;;-3;SK;8;GR;; 3 ;
Q4 2016;1;-1;-17;9;1;3;-1;1;-7;-9;3;2;10;3;0;11;1;3;-5;;-17;CY;11;NL;; 4 ;
Q1 2017;4;1;-16;8;2;1;-1;-4;-8;9;1;-2;14;1;-1;14;1;6;-2;;-16;CY;14;LU;; 3 ;
Q2 2017;-1;0;3;6;2;4;-3;-1;-2;-45;2;-1;3;-1;10;7;-3;5;-1;;-45;IE;10;MT;; 1 ;
Q3 2017;0;2;7;8;3;4;0;1;8;19;4;1;-5;-3;12;10;6;8;-2;;-5;LU;19;IE;; 4 ;
Q4 2017;3;0;-16;9;2;3;1;1;-8;16;3;4;6;8;2;12;1;5;-3;;-16;CY;16;IE;; 4 ;
Q1 2018;5;1;0;9;1;0;-2;-3;-8;14;1;-2;1;0;6;12;1;6;-1;;-8;GR;14;IE;; 3 ;
Q2 2018;0;0;0;8;2;3;-5;-1;-3;12;2;-2;0;2;7;8;-3;6;-1;;-5;FI;12;IE;; 3 ;
Q3 2018;0;0;0;7;1;3;-1;0;7;12;4;1;9;-6;11;11;5;7;-2;;-6;LV;12;IE;; 3 ;
Q4 2018;-1;-3;-17;8;0;2;1;1;-9;-17;3;4;9;3;2;12;-1;5;-5;;-17;CY;12;NL;; 3 ;
Q1 2019;5;0;-9;8;2;0;0;-1;-9;12;1;2;19;0;-1;11;-1;7;-2;;-9;GR;19;LU;; 3 ;
Q2 2019;-1;-2;-5;7;3;3;-6;0;-1;-39;3;0;26;-2;7;6;-2;6;-4;;-39;IE;26;LU;; 1 ;
Q3 2019;1;2;-1;7;3;3;1;0;8;12;4;3;-9;-3;8;10;5;5;-5;;-9;LU;12;IE;; 4 ;
Q4 2019;3;0;-8;8;2;2;3;2;-6;-63;4;8;-15;2;5;9;0;6;-3;;-63;IE;9;NL;; 2 ;
Q1 2020;5;1;-12;7;5;0;-2;-3;-9;-49;2;8;-1;1;1;8;-1;9;-4;;-49;IE;9;SI;; 0 ;
Q2 2020;-1;1;-3;5;6;1;-2;-3;-9;12;2;6;5;4;-11;6;-4;7;-1;;-11;MT;12;IE;; 1 ;
Q3 2020;2;1;-11;7;-1;1;1;-2;-3;15;6;7;4;-1;-3;7;1;7;4;;-11;CY;15;IE;; 3 ;
Q4 2020;1;0;-14;9;-9;2;5;0;-6;12;5;8;9;8;1;7;-1;8;1;;-14;CY;12;IE;; 4 ;
Q1 2021;-1;1;-16;9;-5;0;0;-1;-7;19;2;5;3;-2;-1;11;0;8;2;;-16;CY;19;IE;; 3 ;
Q2 2021;-1;1;-9;7;-9;1;0;0;-11;15;4;0;29;-6;-11;10;-3;3;-2;;-11;GR;29;LU;; 3 ;
Q3 2021;0;2;-3;7;1;2;3;0;3;20;4;1;-4;-6;-6;8;0;4;-3;;-6;MT;20;IE;; 3 ;
Q4 2021;0;-5;-2;7;4;1;0;2;-11;1;1;1;-7;2;-6;6;-2;1;-4;;-11;GR;7;DE;; 1 ;
Q1 2022;1;-1;-18;6;1;-1;-3;-2;-14;15;-1;-7;2;-7;-1;9;-3;-1;-9;;-18;CY;15;IE;; 0 ;
